case	control	lfc
CD79A	0.0720690311726348	0.00580582870366876	3.58749345883202
AKT2	0.0366285491587995	0.044639326039586	-0.279756888904294
NFKBIB	0.106189926964992	0.139408518340534	-0.370917277775595
CD22	0.00592542029006117	0	0
CHP2	0	0	0
PRKCB	0.00529241660209918	0.00580582870366876	-0.133206732135605
CD19	0.0409358842414284	0.0105736523781065	1.93144878069515
MAPK3	0.839770099647842	0.744018087519256	0.132376820045922
IFITM1	3.76607028932742	1.0284806147877	1.14258526632453
HRAS	0.571299623950688	0.414111775349906	0.383151265366556
CD81	3.79891349642792	4.72713709878961	-0.154121494165769
RELA	0.255735807646989	0.476431952173514	-0.774826808774006
BLNK	0.0402991228598063	0	0
PIK3AP1	0.0099066625781534	0	0
CHUK	0.270364987714261	0.211754247351928	0.317220581580736
PIK3R1	2.05815682555031	4.04168175037935	-0.533301426925112
PIK3CA	0.623968623645017	0.628351678405433	-0.00799753498118097
NRAS	0.105713116431476	0.097224099796695	0.115119535357821
VAV3	0.0645103009367997	0.418805043176651	-2.48432056762406
NFKB1	0.531138412302541	0.527112237041556	0.00894434629554669
PPP3CA	0.570516835017722	0.465929484902335	0.23900147863011
DAPP1	0	0	0
BCL10	0.409765241822605	0.406966454824099	0.00837257425974787
RAF1	0.401933819362977	0.444033154255822	-0.12111480425067
PTPN6	0.157779156463744	0.0215771281821254	2.77878829944676
KRAS	1.0645087966453	1.21030474063376	-0.129791358772764
VAV2	0.0773195719621579	0.0656269769151183	0.228582249108741
CHP1	0.575032938683629	0.342799321990892	0.624046141064599
NFATC2	0	0.0092367839992576	0
LYN	0.120585811702915	0.0835567136433626	0.504601271968675
CD72	0.0312230627479605	0	0
JUN	9.90226731747345	5.03646223263653	0.41014213421313
PIK3R3	0	0.0043509739220027	0
PIK3CD	0.107454470608656	0.0116116574073375	3.14416565055519
BTK	0.00529241660209918	0.00580582870366876	-0.133206732135605
IKBKG	0.0134481043822884	0.0180379533885953	-0.420364779042188
SOS1	0.281212424959981	0.338745861401296	-0.235433842361679
RASGRP3	0.0213697188651646	0.0113814068155584	0.901780841056949
PIK3CG	0	0.00328892516938787	0
NFKBIA	2.56383636561501	3.88881426483199	-0.320476809933203
SOS2	0.237603653101464	0.389774994256982	-0.626657913714241
FOS	13.4390217899299	3.79978083931062	0.767354138150356
AKT1	0.571502807073542	0.576170240074143	-0.00943415581780943
MAP2K2	0.828216596951399	0.731683063173331	0.135920881984336
RAC2	0.226903012751884	0.0309931231168981	2.74410560599126
MAP2K1	0.427867291460016	0.371494580590323	0.173141443284156
PIK3CB	0.0935019261685965	0.0614138553923118	0.584680959374668
VAV1	0.00592542029006117	0.00580582870366876	0.0293296333369495
NFKBIE	0.037428723834711	0.0223707719244341	0.731932219137772
INPP5D	0.00640040962621608	0	0
PPP3R1	0.680701536453009	0.516244631297467	0.318917779099159
FCGR2B	0.011296107823762	0	0
AKT3	0.116369516341156	0.115060078418197	0.0154637841444977
CR2	0.0451424938376006	0.00580582870366876	2.93112311918429
PIK3R5	0.0120256454510536	0	0
CD79B	0.292438639048096	0.0418524347186167	2.64542540944986
GRB2	0.698787390716189	0.509952171357489	0.36284278232071
PPP3CB	0.251178007825042	0.355064726755811	-0.439306210432491
NFATC4	0.294706045738704	0.405010923070498	-0.39676953137504
PPP3CC	0.150617681510453	0.0865433195798314	0.757296412653845
SYK	0.0847644625322287	0.0116116574073375	2.81713259859423
PIK3R2	0.305946874066798	0.604655403002165	-0.825110145036951
IKBKB	0.290993713113125	0.411883362189397	-0.433453060694662
GSK3B	0.589059870997775	0.817973588591643	-0.368019419107834
MAPK1	0.291713178513545	0.167622279142819	0.723987502281237
MALT1	0.0987579184822757	0.0903864384509282	0.122190010907197
NFATC1	0.0714385465034316	0.0961867322773293	-0.412442184166867
NFATC3	0.283426641071013	0.326117264641622	-0.177766904408788
NFAT5	2.08017457031325	1.98469171072492	0.0409588466475709
PLCG2	0.00592542029006117	0	0
RAC1	1.73605161481156	1.64256083658304	0.0507150895078595
