case	control	lfc
ADCY2	0.0197635302411159	0.0355578969395308	-0.836192183796982
TIAM2	0.0100056832280735	0.0459066590820352	-2.17257327010695
CCR6	0.0556143846416333	0.00580582870366876	3.2248445558308
GNG8	0.210067872143586	0.125218213238374	0.692621240869261
GSK3A	0.144823449796756	0.214440134030842	-0.522527761840125
AKT2	0.0366285491587995	0.044639326039586	-0.279756888904294
NFKBIB	0.106189926964992	0.139408518340534	-0.370917277775595
PAK1	0.0658716081117732	0.0683516162820782	-0.051624094716261
ARRB1	0.0353967733298465	0.0440370717597577	-0.309067175703198
PRKCB	0.00529241660209918	0.00580582870366876	-0.133206732135605
MAPK3	0.839770099647842	0.744018087519256	0.132376820045922
HRAS	0.571299623950688	0.414111775349906	0.383151265366556
GRK2	0.109567371246184	0.0803513016006747	0.42788585664486
RELA	0.255735807646989	0.476431952173514	-0.774826808774006
RASGRP2	0.169943695188098	0.238969362397127	-0.449139634167182
PLCB3	0.0196596250546588	0.0994740144048564	-2.28420319065081
GNG3	0	0	0
JAK2	0.312679550856073	0.319794482162331	-0.0283825711781521
CHUK	0.270364987714261	0.211754247351928	0.317220581580736
GRK5	0.241187859999499	0.259538477335925	-0.0948104254687993
PIK3R1	2.05815682555031	4.04168175037935	-0.533301426925112
PIK3CA	0.623968623645017	0.628351678405433	-0.00799753498118097
GNB4	0.0316333942826097	0.0189837321107844	0.727747995093538
SHC1	0.893085690433906	0.752069858726406	0.186546147476814
NRAS	0.105713116431476	0.097224099796695	0.115119535357821
RAP1A	2.88752959331039	2.61021303627831	0.080860109718007
GNAI3	0.826482048151985	0.806649539775004	0.0263871182537888
VAV3	0.0645103009367997	0.418805043176651	-2.48432056762406
NFKB1	0.531138412302541	0.527112237041556	0.00894434629554669
PRKACB	0.0463627309205113	0.0828060673212286	-0.811818048077228
GNAI1	0.0118612912040142	0.00446007452784536	1.40581852074918
GNG11	0.0117064260022641	0.0225069798355347	-0.935390166974001
WASL	1.13508200259336	1.54138011723445	-0.298265593821782
BRAF	0.0639065412988452	0.0773941867381651	-0.267070860181368
GNG12	0.241727002154126	0.192614213779588	0.297602276325687
RAF1	0.401933819362977	0.444033154255822	-0.12111480425067
CXCL12	1.79191173699695	1.20916002644329	0.373364648837856
GNB3	0.0187543924702823	0	0
KRAS	1.0645087966453	1.21030474063376	-0.129791358772764
VAV2	0.0773195719621579	0.0656269769151183	0.228582249108741
PLCB2	0	0	0
PLCB1	0.00876311780203324	0.0104658561907633	-0.254955672454688
PLCB4	0.242556291833414	0.33188021789337	-0.400166508653024
HCK	0.0420046101952628	0	0
PREX1	0	0.00789593586449224	0
LYN	0.120585811702915	0.0835567136433626	0.504601271968675
CCL27	0.0789061998021132	0.0498550525275169	0.642504866168361
CCL19	0.276376650780343	0.473156171224345	-0.6668197346978
CCL21	0.751799535729616	0.648587233732086	0.165390364506872
GNG10	4.57096416271492	4.08139248741666	0.0794080409458925
PIK3R3	0	0.0043509739220027	0
FGR	0.0146271464351096	0	0
CDC42	7.15280400197719	5.32903531389811	0.185527126308125
PIK3CD	0.107454470608656	0.0116116574073375	3.14416565055519
PRKCZ	0.0574267867925536	0.138242954111998	-1.21346451540822
GNB1	0.456552708595755	0.456549985365182	7.17236980228331e-06
WAS	0.0526322185376766	0	0
PRKX	0.111439772604753	0.155893587712251	-0.455417506697108
CXCR3	0.00411090227727543	0	0
IKBKG	0.0134481043822884	0.0180379533885953	-0.420364779042188
SOS1	0.281212424959981	0.338745861401296	-0.235433842361679
ADCY3	0.128422670282128	0.157788606044815	-0.278148245419131
ROCK2	2.15153727422522	2.51857683724343	-0.132211983663042
PIK3CG	0	0.00328892516938787	0
NFKBIA	2.56383636561501	3.88881426483199	-0.320476809933203
SOS2	0.237603653101464	0.389774994256982	-0.626657913714241
AKT1	0.571502807073542	0.576170240074143	-0.00943415581780943
STAT2	0.273827248566656	0.3645429975449	-0.360915609702515
GNG7	0.00538287299003523	0.0152310140806551	-1.49352019132534
SHC2	0.193677763983895	0.175053355862078	0.134200336212794
RAP1B	0.100713344254445	0.168380827399709	-0.69753514547337
PTK2	0.105021389064699	0.127267140442183	-0.262536084855961
RAC2	0.226903012751884	0.0309931231168981	2.74410560599126
ADCY6	0.287216858895566	0.335468524839767	-0.196294576987516
CXCR5	0	0	0
CSK	0.500418138856424	0.242456995782635	0.902270115605279
MAP2K1	0.427867291460016	0.371494580590323	0.173141443284156
GNB5	0.0170120793557078	0.0131698102091343	0.366587709369739
PIK3CB	0.0935019261685965	0.0614138553923118	0.584680959374668
GNAI2	3.63609678985306	3.79214335363258	-0.0308058663372764
RHOA	3.66527512218251	3.00944951185117	0.149380746307758
CCR4	0	0	0
CX3CR1	0.00491790056791916	0	0
CCR8	0	0	0
CCR9	0	0	0
CXCR6	0.00695026529162618	0	0
CCR1	0	0	0
CCR3	0	0	0
CCR5	0.00973471687133015	0	0
VAV1	0.00592542029006117	0.00580582870366876	0.0293296333369495
STAT1	0.495621598503471	0.429150268126129	0.172891447070233
CXCR2	0.0138074250809115	0	0
CXCL13	0.696925791948357	0.135868173721502	2.05343762919021
CXCL10	0.201362223839766	0.00780981537596451	4.55961796214873
CXCL9	0.479389627109426	0.171696914955194	1.30543431362493
CXCL2	0	0	0
CXCL1	1.75565758269114	0.348738364072668	1.76053273936692
PF4	0	0.00507020201712917	0
CXCL6	0.0142976877922329	0	0
GRK4	0.18757231626965	0.24988248576745	-0.375700998991864
CXCR4	0.284457715106152	0.0406408009256813	2.65170007921533
XCL1	0.00665479451325502	0	0
AKT3	0.116369516341156	0.115060078418197	0.0154637841444977
ADCY9	0.0679200375259628	0.164115694170759	-1.20946033595472
ITK	0.0113564712123552	0	0
PIK3R5	0.0120256454510536	0	0
ARRB2	0.0359314553860131	0.0512701665078689	-0.502194382975428
CXCL16	0.557125274082264	0.516281355714059	0.0893020186684368
CRK	0.0633396628174287	0.059329456995733	0.0916079868905148
CCL2	0.518530424186639	0.0352155985487532	3.59336692035304
CCL7	0.165083692263727	0.00861971659896442	4.15398907287688
CCL11	5.93659759691473	2.70569858855171	0.564257859777981
CCL1	0.00536323012333284	0	0
CCL5	0.858284157923568	0.0275366854995264	4.51167434935805
CCL3	0.263265955620884	0.0399902518211793	2.57531733199239
CCL4	0.238473395008792	0.0221061856039882	3.29007739381538
GNGT2	0.116749041497219	0.022494784848109	2.31143934009999
CCR7	0	0	0
STAT5B	0.072563474272978	0.10097283050978	-0.457532569004137
STAT3	1.34729914868812	1.36459361688477	-0.0123586969295315
CCR10	0	0.00433726766883573	0
GRB2	0.698787390716189	0.509952171357489	0.36284278232071
GNG2	0.0665741796675427	0.00580582870366876	3.47682490456429
ADCY4	0	0.0138766326996909	0
PTK2B	0.13709322809705	0.0580271049014472	1.18757065499061
CXCL14	6.71445017695649	6.76156032268317	-0.00429265940353909
GRK6	0.215396282299206	0.311622662643441	-0.475709885441319
