case	control	lfc
IFNGR1	1.59192442175421	2.21211956991705	-0.293078819657328
IL22RA2	0	0	0
CCR6	0.0556143846416333	0.00580582870366876	3.2248445558308
IL11	0.0119184743514911	0	0
TGFB1	0.218198112933565	0.205663143385727	0.0776555509585479
FLT3LG	0.415654697641935	0.235121510428652	0.718994846033738
RELT	0.00983580113583832	0	0
IL4R	0.668511171560966	1.05449849980948	-0.492109196675539
IL21R	0.0573129723157631	0	0
CTF1	0.122544635075879	0.0289882761115336	2.01623864640695
CLCF1	0.0593006375890519	0.00846305871271459	2.77312438174472
VEGFB	0.131024625651355	0.118001782920786	0.142512074775167
CNTF	0.00760728445200302	0.0133376767708672	-0.805956060408941
FAS	0.0619104511039397	0.0437888594637022	0.48709650565688
IL6ST	0.64545139146882	1.45841164246467	-0.852959621267573
GHR	0.884691214479961	0.888942932742669	-0.0051204827021978
OSMR	0.132737980833503	0.289185699052687	-1.02714926834725
LIFR	0.403886125042287	0.493038156643729	-0.240605444456747
PRLR	0.29842468203341	0.327471738277499	-0.117320964254999
IL7	0.0287721660596847	0.0173303968667951	0.723270912375808
TNFSF10	0.125972729295429	0.157149628346958	-0.298891330232045
IL2	0	0	0
IL21	0	0	0
IL12A	0.0111127741184035	0	0
PDGFC	0.00505059687953922	0	0
IL6R	0.0427528655105837	0.0982857249003504	-1.16310975203861
CSF1	0.910759569204479	1.66806170789552	-0.59988901365088
IL6	0.315281903203389	0.0264819131475637	3.3902604054659
HGF	0.209201575550326	0.144061109037252	0.497187627382843
MET	0.0354766549484603	0.089743315293069	-1.30171692308923
IL12RB2	0	0	0
IL23R	0	0	0
IL5RA	0	0	0
CXCL12	1.79191173699695	1.20916002644329	0.373364648837856
IL17RA	0.108578046254363	0.336540986558774	-1.49273670005054
CD27	0.0301814129799227	0	0
LTBR	0.964965471321408	1.12586555396542	-0.159005376703339
TNFRSF1A	0.861328125590936	1.37526207143597	-0.477612397249527
ACVR2A	0.91966610982858	0.530685204338586	0.615317089072877
ACVR1	0.390462946068849	0.352896696645182	0.125144307702859
IL1B	0.00983580113583832	0	0
BMP2	0.0730813304336246	0.0963611687872835	-0.38325747159586
CD40	0.0313541508446016	0.0142642408059648	1.12415512051333
BMP7	0.0447623330793584	0.0366379506392709	0.283277654794061
CNTFR	0.315064327100279	0.54626599131511	-0.670235171661712
CCL27	0.0789061998021132	0.0498550525275169	0.642504866168361
CCL19	0.276376650780343	0.473156171224345	-0.6668197346978
CCL21	0.751799535729616	0.648587233732086	0.165390364506872
TGFBR1	0.254139464247246	0.162825897440662	0.58604539137009
TNFSF15	0.0110671995071688	0.00674187906956675	0.711970453134243
TNFSF8	0.0149843368794554	0	0
LEPR	0.175049573120808	0.114763434879317	0.570254070888824
CSF3R	0	0	0
IFNLR1	0.0571788240323914	0.0612085203440867	-0.0954808763475329
TNFRSF1B	0.111140841271791	0.0837642145365124	0.389709109416946
TNFRSF8	0	0	0
TNFRSF9	0.107911400601535	0.108538660286607	-0.00794643918288866
TNFRSF25	0.0228836280190507	0.054144938157343	-1.22065869997951
TNFRSF14	0.0740639085750808	0.0116116574073375	2.62968578882836
TNFRSF4	0	0	0
TNFRSF18	0.0223422378844202	0	0
VEGFD	0.751679327927539	0.262619498043726	1.26541043606397
EDA2R	0	0.0176385565749336	0
EDA	0.0317681790742145	0.0944994148863717	-1.52971553245319
IL2RG	0.0974595040421743	0.0252237248874924	1.90042452454059
CXCR3	0.00411090227727543	0	0
IL13RA1	0.0179197902989406	0.0869912191554226	-2.2315585648143
CD40LG	0	0	0
TGFB3	0.631273824771654	1.3430034404515	-0.798994360717288
IL23A	0	0	0
AMH	0.00612479390068524	0	0
KITLG	0.824219692884186	0.483053941797183	0.609156284101856
IFNG	0	0	0
TNFRSF11B	0.685224095949783	2.12020331329524	-1.12453015227274
CSF2RB	0.0104218629416881	0.0037152429731752	1.48327521706264
IL2RB	0.022798253812855	0.00534042827030471	2.08144839363861
PDGFB	0.00703217077486083	0.00534042827030471	0.395800586254643
TNFRSF13C	0.0729847890493445	0.00580582870366876	3.60508673055269
ACVRL1	0.568827295271135	1.27022784993819	-0.864435674808579
ACVR1B	0.220357435445666	0.216720216186499	0.0217878037829713
AMHR2	0.0203441106566171	0	0
EPOR	0	0	0
CXCR5	0	0	0
IL10RA	0.00640040962621608	0	0
IL18	0	0.00348960116301428	0
PLEKHO2	0.102776307290587	0.0630330325962204	0.678500183741654
IL20RB	0.0232600791918845	0.0488128970959305	-1.05150939091797
CCR4	0	0	0
TGFBR2	0.592380621888418	1.27683797582638	-0.822575525947482
ACVR2B	0.0318840647473936	0.00863123315291179	1.86870114686588
CX3CR1	0.00491790056791916	0	0
CCR8	0	0	0
CCR9	0	0	0
CXCR6	0.00695026529162618	0	0
CCR1	0	0	0
CCR3	0	0	0
CCR5	0.00973471687133015	0	0
TNFSF14	0	0	0
CD70	0.0262776307322428	0.0237510209802752	0.144060263922161
TNFSF9	0.112719396995462	0.0207587153587636	2.37806245601516
VEGFA	3.79658919909387	2.9893056139212	0.180393387074187
TNFRSF21	0.27836235290013	0.0728623918108397	1.80397575976709
IL17A	0	0	0
IL1R2	0.1221113939405	0.155180130551424	-0.324342177485497
IL1R1	0.0464938492469824	0.0648237748199053	-0.466844744805029
IL18R1	0.00746372845268209	0	0
IL18RAP	0.0306720828295472	0	0
BMPR2	0.721222926702326	0.949092145062345	-0.297427912402417
CXCR2	0.0138074250809115	0	0
CRLF2	0.238410820385781	0.102876490137456	1.12675590654935
CSF2RA	0.15870549770388	0.154584594768257	0.0353232164636359
CXCL13	0.696925791948357	0.135868173721502	2.05343762919021
CXCL10	0.201362223839766	0.00780981537596451	4.55961796214873
CXCL9	0.479389627109426	0.171696914955194	1.30543431362493
CXCL2	0	0	0
CXCL1	1.75565758269114	0.348738364072668	1.76053273936692
PF4	0	0.00507020201712917	0
CXCL6	0.0142976877922329	0	0
KDR	0.0286045936903774	0	0
KIT	0.0850972325263931	0.105427000713018	-0.295467625614712
PDGFRA	3.8135672934354	4.06751446370494	-0.0464442948499223
OSM	0.00700362507633951	0	0
EGFR	0.255801968541383	0.375759684887911	-0.485978377514782
TNFRSF11A	0.00347513264581309	0	0
INHBB	0.0237818165502657	0.0620921224645006	-1.35786608955208
CXCR4	0.284457715106152	0.0406408009256813	2.65170007921533
IL24	0	0	0
IL10	0	0	0
TNFSF18	0.00809022215750044	0.0346604830830769	-2.0802083154212
