gene_short_name	status	p_value	morans_test_statistic	morans_I	q_value
Rbp7	OK	0	49.9955855471709	0.618187786637	0
Slpi	OK	1.83457568447866e-221	31.7454505256129	0.383578660242603	4.15837155148495e-220
Higd1b	OK	5.76337612631781e-278	35.605474501241	0.441963268232214	2.41175124055145e-276
Myl9	OK	9.16106598505656e-230	32.3414090017441	0.403090979585813	2.26528177085035e-228
Steap4	OK	1.49930639057541e-195	29.8088652554199	0.373088929218318	2.91293813026079e-194
AABR07027872.1	OK	1.2204694969172e-163	27.235907042849	0.336348039099143	1.95275119506752e-162
Slfn4	OK	2.97779314290461e-133	24.5369867998401	0.301227694457225	4.15363966600027e-132
Kdr	OK	0	40.7243338888379	0.501150309589502	0
Tcf15	OK	9.49933037228293e-142	25.3204958666111	0.302138129877025	1.3966583033843e-140
Cxcl13	OK	0	42.6360182435473	0.532761690300391	0
Crlf1	OK	4.62610439857864e-249	33.6860526416894	0.421793066568013	1.48035340754516e-247
Egfl7	OK	0	38.6906408088778	0.478071158721992	0
Sox17	OK	3.97372663749288e-136	24.8048491981033	0.29737256520327	5.68870339683191e-135
Scimp	OK	6.78517502828642e-245	33.4003056786804	0.383153742628055	1.94270274494095e-243
Krt2	OK	6.36576824543695e-206	30.5987134539398	0.38058608288508	1.38519117020708e-204
Rgs16	OK	2.21129130467729e-159	26.8740013918468	0.321156338447092	3.43697848498413e-158
Kcnip4	OK	0	42.5776437739093	0.531489173030075	0
Dpp4	OK	2.22505118601756e-238	32.948464910248	0.408887416828741	5.76394211996931e-237
Klf5	OK	2.96685108142972e-247	33.5624130750824	0.416490375735279	8.96648326832094e-246
Bcl6b	OK	8.67318453611283e-290	36.3614146950409	0.451050997062905	4.28928398876853e-288
Dhrs9	OK	2.36291382628076e-280	35.7594015123753	0.441804969520046	1.07118760124728e-278
Dok2	OK	1.7918170086899e-174	28.1357188740916	0.34980484012821	3.36120156112865e-173
Podnl1	OK	4.93245947767115e-240	33.0637655267357	0.375957602074376	1.34162897792655e-238
LOC690020	OK	3.23105794932549e-253	33.9686907711771	0.302645435629366	1.09855970277067e-251
Ppp2r2b	OK	7.30302571328588e-167	27.5066805346102	0.334410035507467	1.2415143712586e-165
Dusp14	OK	0	42.2282106674498	0.526586828060138	0
Kcnk2	OK	0	39.1533318332439	0.470244194768794	0
Enpp2	OK	4.54675162942631e-198	30.0025367939682	0.372913447483327	9.16086254225153e-197
Itga4	OK	6.92449788070898e-204	30.4452409827261	0.379263084316407	1.44881801811757e-202
Tenm2	OK	0	39.452378902109	0.480645078616598	0
Fgd4	OK	3.81505655778533e-174	28.1088799119579	0.345757437314867	6.91796922478407e-173
Fam167b	OK	0	53.745372599118	0.663351284421272	0
AABR07000658.2	OK	5.797595591851e-133	24.5098634092979	0.292719152105442	7.88473000491736e-132
Cd55	OK	7.9643174388742e-260	34.4133383311732	0.42994392809398	3.09470620481969e-258
Anxa8	OK	1.25366850270924e-221	31.7574299073585	0.383662950562205	2.96519854553837e-220
Nrarp	OK	0	48.6319969702218	0.605821894090996	0
Runx3	OK	7.84989042722767e-174	28.0832309918762	0.312188389507013	1.37752915884253e-172
Akr1c3	OK	1.70719320349561e-257	34.2571404065571	0.409183811383335	6.19142068467742e-256
Pde2a	OK	5.01833070423773e-152	26.2370835651027	0.318039705344125	7.58325528640368e-151
Trpc6	OK	1.88535118807743e-166	27.4722251252481	0.332550523220655	3.10797286761855e-165
