gene_short_name	status	p_value	morans_test_statistic	morans_I	q_value
Ccl21	FAIL	NA	NA	NA	1
Lyz2	OK	2.7325721153357e-22	9.6391257154735	0.116390818755928	5.25271812983259e-22
Tagln	FAIL	NA	NA	NA	1
Pi16	FAIL	NA	NA	NA	1
Pla2g2a	FAIL	NA	NA	NA	1
Hba-a3	OK	6.93858695635709e-05	3.8103472402649	0.0452721789135062	9.25144927514279e-05
Ccl11	FAIL	NA	NA	NA	1
Ccl5	FAIL	NA	NA	NA	1
Cxcl14	FAIL	NA	NA	NA	1
Fabp4	FAIL	NA	NA	NA	1
Igfbp3	FAIL	NA	NA	NA	1
Acta2	FAIL	NA	NA	NA	1
Sncg	OK	1.05714072637058e-45	14.1412719104981	0.17304816933074	2.99523205804997e-45
Col1a1	FAIL	NA	NA	NA	1
Igfbp5	FAIL	NA	NA	NA	1
Inmt	FAIL	NA	NA	NA	1
Gzma	OK	3.92219385577166e-11	6.50355470375685	0.0442643646658645	5.97667635165206e-11
Sfrp2	FAIL	NA	NA	NA	1
Ccn2	FAIL	NA	NA	NA	1
C1qc	FAIL	NA	NA	NA	1
Postn	FAIL	NA	NA	NA	1
C1qa	OK	6.92425038294587e-54	15.4108008131207	0.169883025952056	2.38404570146997e-53
C1qb	OK	8.17988824118952e-08	5.23655922144618	0.0559827226082039	1.16794204808585e-07
Plvap	OK	2.50609589046666e-29	11.1816976024224	0.133320320076648	5.388601440371e-29
Ccl4	FAIL	NA	NA	NA	1
Eln	FAIL	NA	NA	NA	1
Mgp	FAIL	NA	NA	NA	1
Mup5	FAIL	NA	NA	NA	1
Ccl6	OK	6.03400184019621e-79	18.7751177839644	0.229362659813639	3.90773452507945e-78
Aqp1	FAIL	NA	NA	NA	1
Ccn3	FAIL	NA	NA	NA	1
Tpm1	FAIL	NA	NA	NA	1
Tpm2	FAIL	NA	NA	NA	1
Col3a1	FAIL	NA	NA	NA	1
Gzmk	OK	1.01654217906357e-101	21.3804161736184	0.258278812076192	8.9193378292029e-101
G0s2	FAIL	NA	NA	NA	1
RGD1564664	FAIL	NA	NA	NA	1
Lpl	FAIL	NA	NA	NA	1
Myoc	OK	9.61182133495362e-104	21.5968625849547	0.269211912494783	8.71471801035795e-103
Igfbp6	FAIL	NA	NA	NA	1
Rgs5	OK	6.42571113487898e-50	14.8087999589203	0.177969324402874	2.08070646272272e-49
Vtn	OK	2.23035075213503e-58	16.0653872171338	0.193991555734593	8.54444231803841e-58
Rbp7	OK	0	49.9955855471709	0.618187786637	0
Il1b	OK	1.17450455109303e-49	14.7682006154336	0.102901238500946	3.75841456349769e-49
Serpine1	FAIL	NA	NA	NA	1
Lyve1	FAIL	NA	NA	NA	1
Fn1	FAIL	NA	NA	NA	1
Mt1	FAIL	NA	NA	NA	1
Ccl2	FAIL	NA	NA	NA	1
Sfrp4	FAIL	NA	NA	NA	1
Alox15	OK	3.15754048875946e-67	17.2830219826675	0.159529684931077	1.50675616305715e-66
Ptgs2	FAIL	NA	NA	NA	1
Gpihbp1	OK	6.38601577794924e-129	24.1277994340813	0.275841175278604	7.71998351823197e-128
Myh11	FAIL	NA	NA	NA	1
Slpi	OK	1.83457568447866e-221	31.7454505256129	0.383578660242603	4.15837155148495e-220
Sfrp1	FAIL	NA	NA	NA	1
Tyrobp	FAIL	NA	NA	NA	1
Mmrn1	OK	4.91271928853571e-37	12.6601954819559	0.149265114793641	1.19843914482665e-36
Gzmm	FAIL	NA	NA	NA	1
Prf1	FAIL	NA	NA	NA	1
Id1	FAIL	NA	NA	NA	1
Higd1b	OK	5.76337612631781e-278	35.605474501241	0.441963268232214	2.41175124055145e-276
Myl9	OK	9.16106598505656e-230	32.3414090017441	0.403090979585813	2.26528177085035e-228
LOC259244	FAIL	NA	NA	NA	1
Adm	FAIL	NA	NA	NA	1
LOC103694857	FAIL	NA	NA	NA	1
Ptn	OK	1.46878335940602e-83	19.3311568880158	0.239482738401597	1.02438224040625e-82
Ccn1	FAIL	NA	NA	NA	1
C7	FAIL	NA	NA	NA	1
Cilp	FAIL	NA	NA	NA	1
Mt2A	FAIL	NA	NA	NA	1
Timp4	FAIL	NA	NA	NA	1
Hbb	OK	0.000667988384356847	3.20813735457232	0.0383631840465605	0.000879868477215798
Sparc	FAIL	NA	NA	NA	1
Hspb1	FAIL	NA	NA	NA	1
Fbn1	FAIL	NA	NA	NA	1
Nkg7	FAIL	NA	NA	NA	1
Ppp1r14a	FAIL	NA	NA	NA	1
Hspa1b	FAIL	NA	NA	NA	1
Pf4	OK	0.275405965685483	0.596543906640285	-0.00161538461538462	0.316745973219668
Serpinb1a	OK	5.35519049367702e-17	8.29663276797914	0.0977707870246766	9.18997990082114e-17
RGD1559482	OK	1.52379372342832e-37	12.7517668577465	0.110602750664075	3.75087685766971e-37
Cldn5	FAIL	NA	NA	NA	1
Ahsp	OK	0.698654370287948	-0.520534254529507	-0.00778104749918587	0.726707413836794
Clec10a	FAIL	NA	NA	NA	1
Fcer1g	OK	0.000331671830660643	3.40429790256017	0.0392166905604963	0.00043793562106648
Srpx	FAIL	NA	NA	NA	1
Ccl7	FAIL	NA	NA	NA	1
Gadd45g	FAIL	NA	NA	NA	1
PCOLCE2	FAIL	NA	NA	NA	1
Igf1	FAIL	NA	NA	NA	1
Csf1r	OK	1.67357662386803e-18	8.69903600398786	0.0979112324686975	2.94636143490035e-18
Col4a1	FAIL	NA	NA	NA	1
Ccn5	FAIL	NA	NA	NA	1
Klrb1b	FAIL	NA	NA	NA	1
Tnfrsf11b	FAIL	NA	NA	NA	1
Depp1	OK	0.934012370599464	-1.50635814639651	-0.0177209625838317	0.94795285374274
Car2	FAIL	NA	NA	NA	1
Thbd	FAIL	NA	NA	NA	1
Tmcc2	FAIL	NA	NA	NA	1
Cox4i2	FAIL	NA	NA	NA	1
Mustn1	FAIL	NA	NA	NA	1
Vwf	FAIL	NA	NA	NA	1
Cxcl2	FAIL	NA	NA	NA	1
Steap4	OK	1.49930639057541e-195	29.8088652554199	0.373088929218318	2.91293813026079e-194
Gfpt2	FAIL	NA	NA	NA	1
Cfd	FAIL	NA	NA	NA	1
