"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","1700066B19Rik",NA,NA,NA,NA,NA,0.0914158464298486,0.0234485028567716
"2","1700092M07Rik",NA,NA,NA,NA,NA,0.00598387818714204,0
"3","5S-rRNA.103",NA,NA,NA,NA,NA,0.00776173947888374,0.0302192572410142
"4","5S-rRNA.120",NA,NA,NA,NA,NA,0.00367236626030478,0
"5","5S-rRNA.122",NA,NA,NA,NA,NA,0.00623489672545947,0
"6","5S-rRNA.123",NA,NA,NA,NA,NA,0.0247500716968021,0
"7","5S-rRNA.195",NA,NA,NA,NA,NA,0,0
"8","5S-rRNA.206",NA,NA,NA,NA,NA,0.00341001181573017,0
"9","5S-rRNA.223",NA,NA,NA,NA,NA,0,0
"10","5S-rRNA.258",NA,NA,NA,NA,NA,0,0
"11","5S-rRNA.264",NA,NA,NA,NA,NA,0.0180762024328903,0
"12","5S-rRNA.274",NA,NA,NA,NA,NA,0,0
"13","5S-rRNA.285",NA,NA,NA,NA,NA,0,0
"14","5S-rRNA.40",NA,NA,NA,NA,NA,0,0
"15","5S-rRNA.97",NA,NA,NA,NA,NA,0,0
"16","7SK.108",NA,NA,NA,NA,NA,0.00297109229042428,0
"17","7SK.116",NA,NA,NA,NA,NA,0,0
"18","7SK.124",NA,NA,NA,NA,NA,0.0277745206345757,0
"19","7SK.134",NA,NA,NA,NA,NA,0.0335145871113623,0
"20","7SK.137",NA,NA,NA,NA,NA,0,0
"21","7SK.153",NA,NA,NA,NA,NA,0,0
"22","7SK.20",NA,NA,NA,NA,NA,0,0
"23","7SK.22",NA,NA,NA,NA,NA,0,0
"24","7SK.23",NA,NA,NA,NA,NA,0.0167055592768638,0
"25","7SK.232",NA,NA,NA,NA,NA,0,0
"26","7SK.233",NA,NA,NA,NA,NA,0,0
"27","7SK.235",NA,NA,NA,NA,NA,0.0294012774490099,0
"28","7SK.239",NA,NA,NA,NA,NA,0,0
"29","7SK.253",NA,NA,NA,NA,NA,0.0528005119095954,0.0224437018051495
"30","7SK.261",NA,NA,NA,NA,NA,0,0
"31","7SK.272",NA,NA,NA,NA,NA,0.00292124279844984,0
"32","7SK.279",NA,NA,NA,NA,NA,0.00462808020137,0
"33","7SK.298",NA,NA,NA,NA,NA,0.0024538522683093,0
"34","7SK.316",NA,NA,NA,NA,NA,0,0
"35","7SK.356",NA,NA,NA,NA,NA,0,0
"36","7SK.365",NA,NA,NA,NA,NA,0.00883562138486725,0.0452078800266093
"37","7SK.63",NA,NA,NA,NA,NA,0,0
"38","7SK.85",NA,NA,NA,NA,NA,0.00879288873461817,0
"39","7SK.90",NA,NA,NA,NA,NA,0,0
"40","A1cf",NA,NA,NA,NA,NA,0,0
"41","A2m",NA,NA,NA,NA,NA,0,0
"42","A3galt2",NA,NA,NA,NA,NA,0,0
"43","AA926063",NA,NA,NA,NA,NA,0.0440841430566055,0
"44","Aaas",NA,NA,NA,NA,NA,0.0503578657121619,0.0583462433840375
"45","AABR07000109.1",NA,NA,NA,NA,NA,0,0
"46","AABR07000147.1",NA,NA,NA,NA,NA,0,0
"47","AABR07000156.1",NA,NA,NA,NA,NA,0.00473598527077712,0
"48","AABR07000159.4",NA,NA,NA,NA,NA,0.00318375181494233,0
"49","AABR07000382.1",NA,NA,NA,NA,NA,0.00411178196112608,0
"50","AABR07000385.2",NA,NA,NA,NA,NA,0.0524962647386358,0.0468394613431389
"51","AABR07000398.1",NA,NA,NA,NA,NA,0.930957480655774,1.89912102979236
"52","AABR07000411.1",NA,NA,NA,NA,NA,0,0
"53","AABR07000433.1",NA,NA,NA,NA,NA,0,0
"54","AABR07000493.1",6.49397140589355e-63,0.0266181993758033,0.069,0.953,1.29879428117871e-59,0.176883780689023,0.116553503986293
"55","AABR07000534.1",NA,NA,NA,NA,NA,0,0
"56","AABR07000629.3",NA,NA,NA,NA,NA,0.00367384225332469,0
"57","AABR07000658.2",1.23841979197449e-11,-0.0278161266370905,0.011,0.186,2.47683958394898e-08,0.0190800780596657,0.0548225425765556
"58","AABR07001037.1",NA,NA,NA,NA,NA,0.00771672325229937,0
"59","AABR07001048.1",NA,NA,NA,NA,NA,0,0
"60","AABR07001064.1",NA,NA,NA,NA,NA,0,0
"61","AABR07001099.1",NA,NA,NA,NA,NA,0.060464230717719,0.0372596356190888
"62","AABR07001099.2",NA,NA,NA,NA,NA,0.195501067216006,0.351686783286499
"63","AABR07001100.1",NA,NA,NA,NA,NA,0.0140165924020205,0
"64","AABR07001210.1",NA,NA,NA,NA,NA,0,0
"65","AABR07001382.1",NA,NA,NA,NA,NA,0.819956345128777,1.66362406785526
"66","AABR07001382.2",NA,NA,NA,NA,NA,0,0
"67","AABR07001389.1",1,-0.00827155528339661,0,0.023,1,0,0.0112075877654775
"68","AABR07001432.1",NA,NA,NA,NA,NA,0.36583034666737,0.235673828366526
"69","AABR07001435.1",NA,NA,NA,NA,NA,0.103863741195712,0.117991369131324
"70","AABR07001477.1",NA,NA,NA,NA,NA,0.0059760538805384,0
"71","AABR07001512.1",NA,NA,NA,NA,NA,0.0176077613300585,0
"72","AABR07001519.1",NA,NA,NA,NA,NA,0,0
"73","AABR07001591.1",NA,NA,NA,NA,NA,0.00456452555600629,0
"74","AABR07001634.1",NA,NA,NA,NA,NA,0.0317424927985087,0
"75","AABR07001807.1",NA,NA,NA,NA,NA,0.0369857104857219,0.0209325643147852
"76","AABR07001896.1",NA,NA,NA,NA,NA,0.0797125301015223,0.0810341260919934
"77","AABR07001902.1",NA,NA,NA,NA,NA,0.0671969736523058,0.0225175911954468
"78","AABR07001905.1",NA,NA,NA,NA,NA,0,0
"79","AABR07001905.2",NA,NA,NA,NA,NA,0.0206386446395847,0
"80","AABR07001910.1",NA,NA,NA,NA,NA,0.111814091447985,0.260667561335936
"81","AABR07001923.1",NA,NA,NA,NA,NA,0.0400918175681197,0.0438977077619595
"82","AABR07001926.3",NA,NA,NA,NA,NA,0.00423268513935324,0
"83","AABR07002010.1",1,0.00106908909527419,0,0.012,1,0,0
"84","AABR07002065.2",0.695131587267142,0.00412012204862362,0.002,0,1,0.00412012204862372,0
"85","AABR07002068.1",NA,NA,NA,NA,NA,0,0
"86","AABR07002247.1",NA,NA,NA,NA,NA,0,0
