"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","AABR07034739.1",5.71845738412175e-47,0.497963625309026,0.069,0.982,1.14369147682435e-43,0.557782223830208,0
"2","AABR07049085.1",4.37349813643576e-22,-0.323239882417387,0.021,0.4,8.74699627287151e-19,0.0407810883060755,0.306987863107138
"3","AABR07060872.1",2.76160506407353e-18,0.923916526263304,0.199,1,5.52321012814706e-15,1.14962606946522,0.0289636070656741
"4","AABR07068316.1",0.040400794488158,0.475206951324766,0.572,0.818,1,1.34490137676057,1.59422073464163
"5","AC134224.2",0.40729309843314,-0.513656928482411,0.431,0.782,1,0.92033904364976,1.55074148912914
"6","Actn1",0.0032202129483066,-0.390249111016278,0.238,0.473,1,0.586722860015772,1.56860893573744
"7","Adamts4",0.000443801718012542,0.287437011282569,0.392,0.964,0.887603436025083,1.03064654398736,0.38193865854634
"8","Aebp1",2.06727174719763e-05,0.490211832840295,0.41,0.491,0.0413454349439527,1.43567583683975,2.10294207625529
"9","Agtr1a",0.0122318593019381,0.306898260889111,0.434,0.964,1,1.04326450944856,0.497804408378392
"10","Akap6",3.27009708558094e-24,-0.338256153234781,0.018,0.218,6.54019417116188e-21,0.0493183886969297,0.481123572546108
"11","Aplp2",0.388410001323244,0.290504123215713,0.485,0.8,1,1.06785123225722,1.32093750507237
"12","Aqp1",2.33913240459319e-20,-0.361095349269536,0.024,0.255,4.67826480918638e-17,0.165513561284707,0.962570368471038
"13","Art3",1.30627819512093e-07,0.277592688339831,0.307,0.945,0.000261255639024185,1.02756058583737,0.686890854232274
"14","Atf3",0.407869854918035,0.518288702376937,0.521,0.964,1,1.7944697363267,0.752555416235181
"15","Bcr",4.1118247346916e-06,0.367600873053834,0.247,0.873,0.00822364946938321,0.735337106329314,0.175290677607539
"16","C1qtnf1",0.0668416016686955,0.372339611975978,0.578,0.727,1,1.54303680660491,1.54114873373011
"17","C1r",0.00160050510165124,0.437899499208004,0.575,0.655,1,1.32495541810413,1.26563210145479
"18","C1s",3.72888781810963e-11,0.287040033802689,0.223,0.327,7.45777563621926e-08,0.603704452863698,0.558929050788314
"19","Ccl11",3.16679108450607e-12,0.688347412076052,0.154,0.273,6.33358216901215e-09,1.32048246361581,0.90654232335994
"20","Ccl2",1.12722530010379e-08,0.887127565192887,0.208,0.873,2.25445060020758e-05,1.17748369580573,0
