"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","AABR07017902.1",1.03662773509462e-60,0.479678445851971,0.264,0.789,2.07325547018924e-57,1.08770604168042,0.838148908110672
"2","AABR07018078.1",1.00583371472525e-23,0.392647162653677,0.272,0.761,2.0116674294505e-20,0.920965752219262,0.638751807556236
"3","AABR07034739.1",2.0544889999476e-12,1.12042384309301,0.467,0.997,4.1089779998952e-09,2.76401453993067,1.47150067673769
"4","AABR07034739.3",1.51627670271659e-62,0.856469442779149,0.345,0.942,3.03255340543319e-59,1.47993294708086,0.637855852517509
"5","AABR07044388.2",7.75885167053052e-08,-0.471926477506328,0.063,0.382,0.00015517703341061,0.255990425571992,1.00667268216894
"6","AABR07060872.1",0.00594671343079245,1.12743099225192,0.533,0.931,1,3.53834809090043,2.60312769818946
"7","AABR07068316.1",5.57206686262505e-65,-0.496668441912616,0.07,0.451,1.11441337252501e-61,0.345519890464116,0.913957752855155
"8","Abca1",6.14903808426296e-29,-0.500832638170616,0.128,0.563,1.22980761685259e-25,0.473997879957224,1.03642725156979
"9","Abca8a",5.04613191780936e-05,-0.386330801647082,0.044,0.385,0.100922638356187,0.29634947551125,1.04289600877455
"10","Abcc9",1.69002961121362e-41,-0.277485219064539,0.084,0.478,3.38005922242723e-38,0.561967770085325,1.07806651642824
"11","Abi3bp",1.56947224064498e-129,-0.72094019984015,0.07,0.466,3.13894448128996e-126,0.417366970501587,1.44440479556299
"12","AC109737.1",6.42315475692631e-16,0.45416893977932,0.267,0.529,1.28463095138526e-12,1.1833590237199,0.663428623281519
"13","AC134224.1",7.57559800641883e-07,-0.432602064084388,0.782,0.977,0.00151511960128377,2.1648800434966,2.74849442433593
"14","AC134224.2",2.02254186032429e-56,-0.40912395572212,0.261,0.801,4.04508372064859e-53,0.680743528593847,1.1217814632029
"15","Acer3",7.32489150548411e-06,0.275343536219846,0.193,0.638,0.0146497830109682,0.63686730287323,0.600803637076676
"16","Ackr3",4.53273988085041e-156,-0.467771830719686,0.081,0.666,9.06547976170082e-153,0.42600124171128,1.14788308298377
"17","Ackr4",3.58772440750406e-32,-0.303465725024614,0.01,0.296,7.17544881500812e-29,0.0496095204868687,0.401147292503331
"18","Actn1",1.03518368875941e-179,-0.264351816227801,0.065,0.618,2.07036737751882e-176,0.230724292658871,0.645185940959975
