gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B-cells	Endothelial	Fibroblast	Macrophages	Neuron	RBC	T-cells	Unknown	VSMC
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.111	0.007	0.002	0.007	0.027	0.009	0.005	0.157	0.009
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.001	0.05	0.064	0.013	0.0	0.0	0.015	0.016	0.012
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	0.111	0.007	0.002	0.007	0.027	0.009	0.005	0.157	0.009
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.079	0.023	0.0	0.0	0.0	0.003	0.0	0.083
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.001	0.05	0.064	0.013	0.0	0.0	0.015	0.016	0.012
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.001	0.05	0.064	0.013	0.0	0.0	0.015	0.016	0.012
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.001	0.05	0.064	0.013	0.0	0.0	0.015	0.016	0.012
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.001	0.05	0.064	0.013	0.0	0.0	0.015	0.016	0.012
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.006	0.092	0.805	0.099	1.356	0.006	0.005	0.0	0.25
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.001	0.009	0.0	0.073	0.291	0.0	0.002	0.021	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.001	0.003	0.062	0.0	0.033	0.0	0.0	0.0	0.052
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.002
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.001	0.672	0.159	0.011	0.106	0.0	0.001	0.0	0.231
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.006	0.092	0.805	0.099	1.356	0.006	0.005	0.0	0.25
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.001	0.009	0.0	0.073	0.291	0.0	0.002	0.021	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.001	0.0	0.0	0.0	0.0	0.0	0.008	0.021	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.006	0.092	0.805	0.099	1.356	0.006	0.005	0.0	0.25
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.006	0.092	0.805	0.099	1.356	0.006	0.005	0.0	0.25
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.001	0.003	0.062	0.0	0.033	0.0	0.0	0.0	0.052
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.002
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.004	0.009	0.003	0.007	0.0	0.019	0.362	0.178	0.009
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.0	0.0	0.04	0.159	0.0	0.002	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0	0.0	0.049	0.0	0.024	0.0	0.0	0.021	0.034
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.007	0.027	0.022	0.024	0.0	0.0	0.009	0.0	0.0
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0	0.037	0.107	0.071	0.0	0.0	0.006	0.014	0.231
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0	0.0	0.049	0.0	0.024	0.0	0.0	0.021	0.034
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.054
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.009	0.187	0.0	0.0	0.0	0.001	0.0	0.004
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.018
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0	0.0	0.049	0.0	0.024	0.0	0.0	0.021	0.034
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.054
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.009	0.187	0.0	0.0	0.0	0.001	0.0	0.004
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.001	0.0	0.195	0.016	0.0	0.0	0.015	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0	0.0	0.049	0.0	0.024	0.0	0.0	0.021	0.034
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.054
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.124	0.03	0.14	0.91	0.495	0.03	0.566	0.428	0.316
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.009	0.187	0.0	0.0	0.0	0.001	0.0	0.004
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.018
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.001	0.0	0.195	0.016	0.0	0.0	0.015	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.011	0.578	1.231	0.014	0.942	0.014	0.013	0.0	0.626
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.001	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.0	0.069	0.132	0.01	0.0	0.0	0.002	0.0	0.016
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.0	0.0	0.049	0.0	0.024	0.0	0.0	0.021	0.034
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.054
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.009	0.187	0.0	0.0	0.0	0.001	0.0	0.004
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.018
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.0	0.016	0.057	0.005	0.0	0.0	0.001	0.0	0.003
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0	0.0	0.049	0.0	0.024	0.0	0.0	0.021	0.034
SPP1	P10451	False	OSTP_HUMAN		CPI-SS04297753E	0.007	0.027	0.022	0.024	0.0	0.0	0.009	0.0	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	0.275	0.113	0.085	0.139	0.125	0.08	1.181	0.346	0.062
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.007	0.027	0.022	0.024	0.0	0.0	0.009	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.054
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.488	0.6	0.122	0.857	0.04	0.045	0.508	0.711	0.204
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.001	0.006	0.012	0.0	0.0	0.0	0.004	0.0	0.015
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.001	0.11	0.275	0.003	0.132	0.0	0.004	0.0	0.106
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.0	0.196	0.325	0.005	0.044	0.005	0.027	0.0	0.21
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.394	0.019	0.003	0.016	0.0	0.017	0.01	0.254	0.009
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.005	0.006	0.0	0.093	0.744	0.003	0.01	0.0	0.003
