id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B-cells|B-cells	B-cells|Endothelial	B-cells|Fibroblast	B-cells|Macrophages	B-cells|Neuron	B-cells|RBC	B-cells|T-cells	B-cells|Unknown	B-cells|VSMC	Endothelial|B-cells	Endothelial|Endothelial	Endothelial|Fibroblast	Endothelial|Macrophages	Endothelial|Neuron	Endothelial|RBC	Endothelial|T-cells	Endothelial|Unknown	Endothelial|VSMC	Fibroblast|B-cells	Fibroblast|Endothelial	Fibroblast|Fibroblast	Fibroblast|Macrophages	Fibroblast|Neuron	Fibroblast|RBC	Fibroblast|T-cells	Fibroblast|Unknown	Fibroblast|VSMC	Macrophages|B-cells	Macrophages|Endothelial	Macrophages|Fibroblast	Macrophages|Macrophages	Macrophages|Neuron	Macrophages|RBC	Macrophages|T-cells	Macrophages|Unknown	Macrophages|VSMC	Neuron|B-cells	Neuron|Endothelial	Neuron|Fibroblast	Neuron|Macrophages	Neuron|Neuron	Neuron|RBC	Neuron|T-cells	Neuron|Unknown	Neuron|VSMC	RBC|B-cells	RBC|Endothelial	RBC|Fibroblast	RBC|Macrophages	RBC|Neuron	RBC|RBC	RBC|T-cells	RBC|Unknown	RBC|VSMC	T-cells|B-cells	T-cells|Endothelial	T-cells|Fibroblast	T-cells|Macrophages	T-cells|Neuron	T-cells|RBC	T-cells|T-cells	T-cells|Unknown	T-cells|VSMC	Unknown|B-cells	Unknown|Endothelial	Unknown|Fibroblast	Unknown|Macrophages	Unknown|Neuron	Unknown|RBC	Unknown|T-cells	Unknown|Unknown	Unknown|VSMC	VSMC|B-cells	VSMC|Endothelial	VSMC|Fibroblast	VSMC|Macrophages	VSMC|Neuron	VSMC|RBC	VSMC|T-cells	VSMC|Unknown	VSMC|VSMC
CPI-SS028784FC6	HLA-DPA1_TNFSF9	simple:HLADPA1	simple:P41273	HLA-DPA1	TNFSF9	True	True	False	InnateDB-All	False	0.061	0.058	0.085	0.061	0.071	0.0	0.089	0.0	0.071	0.008	0.006	0.032	0.008	0.019	0.0	0.037	0.0	0.019	0.006	0.003	0.03	0.006	0.017	0.0	0.035	0.0	0.016	0.008	0.005	0.032	0.008	0.019	0.0	0.037	0.0	0.019	0.018	0.016	0.042	0.018	0.029	0.0	0.047	0.0	0.029	0.009	0.006	0.033	0.009	0.02	0.0	0.038	0.0	0.02	0.007	0.004	0.031	0.007	0.018	0.0	0.036	0.0	0.018	0.083	0.08	0.107	0.083	0.094	0.0	0.112	0.0	0.094	0.009	0.006	0.033	0.009	0.02	0.0	0.038	0.0	0.02
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0.005	0.002	0.029	0.005	0.016	0.0	0.034	0.0	0.016	0.03	0.027	0.054	0.03	0.041	0.0	0.059	0.0	0.041	0.037	0.034	0.061	0.037	0.047	0.0	0.065	0.0	0.047	0.011	0.009	0.035	0.011	0.022	0.0	0.04	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.01	0.037	0.013	0.023	0.0	0.041	0.0	0.023	0.013	0.01	0.037	0.013	0.023	0.0	0.041	0.0	0.023	0.011	0.008	0.035	0.011	0.022	0.0	0.04	0.0	0.022
CPI-SS072B19293	HLA-DPA1_GAL	simple:HLADPA1	simple:P22466	HLA-DPA1	GAL	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
CPI-SS0F8ABC300	GALR2_GAL	simple:O43603	simple:P22466	GALR2	GAL	True	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	0.001	0.003	0.0	0.007	0.0	0.007	0.17	0.036	0.001	0.026	0.028	0.0	0.032	0.0	0.032	0.195	0.061	0.026	0.033	0.035	0.0	0.039	0.0	0.039	0.201	0.067	0.033	0.008	0.009	0.0	0.013	0.0	0.013	0.176	0.042	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.01	0.0	0.014	0.0	0.014	0.177	0.043	0.009	0.009	0.011	0.0	0.015	0.0	0.015	0.177	0.043	0.009	0.007	0.009	0.0	0.013	0.0	0.013	0.176	0.042	0.007
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	0.002	0.005	0.002	0.004	0.0	0.01	0.181	0.089	0.005	0.027	0.03	0.027	0.029	0.0	0.035	0.206	0.114	0.03	0.034	0.036	0.033	0.035	0.0	0.041	0.213	0.121	0.036	0.008	0.011	0.008	0.01	0.0	0.016	0.188	0.096	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.012	0.009	0.011	0.0	0.017	0.189	0.097	0.012	0.01	0.013	0.009	0.011	0.0	0.017	0.189	0.097	0.012	0.008	0.011	0.008	0.01	0.0	0.016	0.187	0.095	0.011
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.007
CPI-SS0F1A060D4	PVR_NECTIN3	simple:P15151	simple:Q9NQS3	PVR	NECTIN3	True	True	False	curated	False	0.0	0.004	0.018	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.029	0.043	0.0	0.0	0.0	0.026	0.0	0.027	0.0	0.036	0.05	0.0	0.0	0.0	0.032	0.0	0.033	0.0	0.01	0.025	0.0	0.0	0.0	0.007	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.026	0.0	0.0	0.0	0.008	0.0	0.009	0.0	0.012	0.026	0.0	0.0	0.0	0.008	0.0	0.01	0.0	0.01	0.024	0.0	0.0	0.0	0.007	0.0	0.008
CPI-SS00550260E	CADM3_NECTIN3	simple:Q8N126	simple:Q9NQS3	CADM3	NECTIN3	False	False	False	curated	False	0.0	0.007	0.021	0.0	0.0	0.0	0.003	0.0	0.005	0.0	0.05	0.064	0.0	0.0	0.0	0.046	0.0	0.048	0.0	0.406	0.421	0.0	0.0	0.0	0.403	0.0	0.404	0.0	0.053	0.067	0.0	0.0	0.0	0.05	0.0	0.051	0.0	0.682	0.696	0.0	0.0	0.0	0.678	0.0	0.679	0.0	0.007	0.021	0.0	0.0	0.0	0.003	0.0	0.005	0.0	0.006	0.02	0.0	0.0	0.0	0.003	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.129	0.143	0.0	0.0	0.0	0.125	0.0	0.127
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	CADM1	NECTIN3	False	False	False	curated	False	0.0	0.004	0.019	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.008	0.023	0.0	0.0	0.0	0.005	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.055	0.0	0.0	0.0	0.037	0.0	0.038	0.0	0.15	0.164	0.0	0.0	0.0	0.146	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.019	0.0	0.0	0.0	0.001	0.0	0.003	0.0	0.015	0.029	0.0	0.0	0.0	0.011	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
