id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B-cells|B-cells	B-cells|Endothelial	B-cells|Fibroblast	B-cells|Macrophages	B-cells|Neuron	B-cells|RBC	B-cells|T-cells	B-cells|Unknown	B-cells|VSMC	Endothelial|B-cells	Endothelial|Endothelial	Endothelial|Fibroblast	Endothelial|Macrophages	Endothelial|Neuron	Endothelial|RBC	Endothelial|T-cells	Endothelial|Unknown	Endothelial|VSMC	Fibroblast|B-cells	Fibroblast|Endothelial	Fibroblast|Fibroblast	Fibroblast|Macrophages	Fibroblast|Neuron	Fibroblast|RBC	Fibroblast|T-cells	Fibroblast|Unknown	Fibroblast|VSMC	Macrophages|B-cells	Macrophages|Endothelial	Macrophages|Fibroblast	Macrophages|Macrophages	Macrophages|Neuron	Macrophages|RBC	Macrophages|T-cells	Macrophages|Unknown	Macrophages|VSMC	Neuron|B-cells	Neuron|Endothelial	Neuron|Fibroblast	Neuron|Macrophages	Neuron|Neuron	Neuron|RBC	Neuron|T-cells	Neuron|Unknown	Neuron|VSMC	RBC|B-cells	RBC|Endothelial	RBC|Fibroblast	RBC|Macrophages	RBC|Neuron	RBC|RBC	RBC|T-cells	RBC|Unknown	RBC|VSMC	T-cells|B-cells	T-cells|Endothelial	T-cells|Fibroblast	T-cells|Macrophages	T-cells|Neuron	T-cells|RBC	T-cells|T-cells	T-cells|Unknown	T-cells|VSMC	Unknown|B-cells	Unknown|Endothelial	Unknown|Fibroblast	Unknown|Macrophages	Unknown|Neuron	Unknown|RBC	Unknown|T-cells	Unknown|Unknown	Unknown|VSMC	VSMC|B-cells	VSMC|Endothelial	VSMC|Fibroblast	VSMC|Macrophages	VSMC|Neuron	VSMC|RBC	VSMC|T-cells	VSMC|Unknown	VSMC|VSMC
CPI-SS082AD7B6A	FZD6_WNT5A	simple:O60353	simple:P41221	FZD6	WNT5A	True	True	False	curated	False	0.012												0.547																																																																					
CPI-SS0273C9AED	KDR_VEGFC	simple:P35968	simple:P49767	KDR	VEGFC	True	True	False	curated	False	0.012												0.762																																																																					
CPI-CS0A66DB1CA	CD8 receptor_LCK	complex:CD8 receptor	simple:P06239		LCK	False	True	False	curated	False	0.012																																																													0.931																				
CPI-SS0A19E9C34	EGFR_BTC	simple:P00533	simple:P35070	EGFR	BTC	True	True	False	curated	False	0.012																							0.23																																																										
CPI-SS0FAF4BB9E	DPP4_CCL11	simple:P27487	simple:P51671	DPP4	CCL11	True	True	False	curated	False	0.012																																																															0.198																		
CPI-SS00BBA318F	TEK_ANGPT4	simple:Q02763	simple:Q9Y264	TEK	ANGPT4	True	True	False	curated	False	0.012												0.434																																																																					
CPI-SS0EBFE1854	EFNA1_EPHA4	simple:P20827	simple:P54764	EFNA1	EPHA4	True	False	True	curated	False	0.012												0.257																																																																					
CPI-SC0F7E26271	COL1A1_a11b1 complex	simple:P02452	complex:a11b1 complex	COL1A1		True	False	False	curated	True	0.012																					2.358																																																												
CPI-SS0CB6968B9	FGF2_FGFRL1	simple:P09038	simple:Q8N441	FGF2	FGFRL1	True	False	True	I2D	False	0.012																																																																											0.145						
CPI-SS07833475A	FGFR1_FGF7	simple:P11362	simple:P21781	FGFR1	FGF7	True	True	False	I2D	False	0.012																					0.239																																																												
CPI-CS0CA393CC5	BMR1A_AVR2B_BMP5	complex:BMR1A_AVR2B	simple:P22003		BMP5	True	True	False	curated	False	0.012																																													0.195																																				
CPI-SS039799099	FGFR1_NCAM1	simple:P11362	simple:P13591	FGFR1	NCAM1	True	True	True	curated	False	0.012																							0.496																																																										
