gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B-cells	Endothelial	Fibroblast	Macrophages	Neuron	RBC	T-cells	Unknown	VSMC
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.035	0.017	0.0	0.0	0.0	0.024	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	0.181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.122	0.013	0.0	0.0	0.0	0.0	0.0	0.141
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0	0.035	0.017	0.0	0.0	0.0	0.024	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0	0.035	0.017	0.0	0.0	0.0	0.024	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0	0.035	0.017	0.0	0.0	0.0	0.024	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.009	0.018	0.952	0.173	1.845	0.005	0.004	0.0	0.235
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.0	0.005	0.0	0.047	0.869	0.0	0.006	0.0	0.0
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0	0.015	0.088	0.0	0.0	0.0	0.0	0.0	0.144
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.01	0.764	0.06	0.046	0.0	0.0	0.004	0.0	0.426
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.009	0.018	0.952	0.173	1.845	0.005	0.004	0.0	0.235
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.0	0.005	0.0	0.047	0.869	0.0	0.006	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.009	0.018	0.952	0.173	1.845	0.005	0.004	0.0	0.235
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.009	0.018	0.952	0.173	1.845	0.005	0.004	0.0	0.235
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.0	0.015	0.088	0.0	0.0	0.0	0.0	0.0	0.144
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0	0.004	0.0	0.0	0.0	0.004	0.71	0.0	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.0	0.0	0.056	0.0	0.0	0.006	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0	0.015	0.095	0.0	0.0	0.0	0.0	0.0	0.105
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.133
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0	0.091	0.07	0.025	0.0	0.004	0.033	0.0	0.282
